BIO F111,GENERAL BIOLOGY,3,-,3,3,Kirtimaan Syal,T Th S,2,
,,,,,,,,,
,,,,,,Shuvadeep Maity,,,
,,,,,,,,,
,Tutorial,,,,10,Gireesha T Mohannath,Th,6,
,,,,,,,,,
BIO F211,BIOLOGICAL CHEMISTRY,3,-,3,1,RUCHI JAIN DEY,T Th S,5,
,,,,,,,,,
,Tutorial,,,,,Sumana Choudhury,T,1,
,,,,,,,,,
BIO F213,CELL BIOLOGY,3,-,3,1,K  PRANAV NARAYAN,M W F,3,
,,,,,,,,,
,Tutorial,,,,,Minali Singh,Th,1,
,,,,,,,,,
BIO F214,INTEGRATED BIOLOGY,3,-,3,1,SUMAN KAPUR,T Th S,4,
,,,,,,,,,
,Tutorial,,,,,Bharwani Harsha,S,1,
,,,,,,,,,
BIO F242,INTRODUCTION TO BIOINFORMATICS,3,-,3,1,DEBASHREE B,M W F,2,
,,,,,,,,,
,Tutorial,,,,,Syeda Sabiha Sultana Lubna,Th,9,
,,,,,,,,,
BIO F266,STUDY PROJECT,-,-,3,1,PRAGYA KOMAL,,,
,,,,,,,,,
BIO F311,RECOMBINANT DNA TECH,3,-,3,1,VIDYA RAJESH,M W F,4,
,,,,,,,,,
,Tutorial,,,,,Neha Priyadarshini,T,8,
,,,,,,,,,
BIO F312,PLANT PHYSIOLOGY,3,-,3,1,SRIDEV MOHAPATRA,M W F,5,
,,,,,,,,,
,Tutorial,,,,,Raja Gopalan N S,Th,8,
,,,,,,,,,
BIO F313,ANIMAL PHYSIOLOGY,3,-,3,1,PRAGYA KOMAL,M W F,9,
,,,,,,,,,
,Tutorial,,,,,S K Venkata Manjari,T,9,
,,,,,,,,,
BIO F366,LABORATORY PROJECT,-,-,3,1,PRAGYA KOMAL,,,
,,,,,,,,,
BIO F367,LABORATORY PROJECT,-,-,3,1,PRAGYA KOMAL,,,
,,,,,,,,,
BIO F376,DESIGN PROJECT,-,-,3,1,PRAGYA KOMAL,,,
,,,,,,,,,
BIO F377,DESIGN PROJECT,-,-,3,1,PRAGYA KOMAL,,,
,,,,,,,,,
BIO F421,ENZYMOLOGY,3,-,3,1,JAYATI RAY DUTTA,M W F,3,
,,,,,,,,,
,,,,,,Trinath Jamma,,,
,,,,,,,,,
BIO G512,MOLEC MECH OF GENE EXPRE,3,2,5,1,NAGA MOHAN K,M W F,3,
,,,,,,,,,
,Practical,,,,,Pranay Amruth Maroju,M W,8 9,
,,,,,,,,,
"COMCOD",COURSE NO.,COURSE TITLE,"CREDITL   P   U","S EC","INSTRUCTOR-IN-CHARGE/Instructor",DAYS,HOURS,Unnamed: 8,Unnamed: 9
,,,,,,,,,
,,,,,,Anne Lohitha Alias Anuhya,,,
,,,,,,,,,
,,,,,,Gargi Prasad S,,,
,,,,,,,,,
BIO G514,MOLECULAR IMMUNOLOGY,-,-,5,1,TRINATH JAMMA,T Th S,2,
,,,,,,,,,
,,,,,,Ruchi Jain Dey,,,
,,,,,,,,,
,Practical,,,,,Naresh Patnaik,M F,8 9,
,,,,,,,,,
,,,,,,Dwaipayan Bhattacharya,,,
,,,,,,,,,
BIO G524,ANIMAL CELL TECHNOLOGY,3,2,5,1,PIYUSH KHANDELIA,M W F,2,
,,,,,,,,,
,Practical,,,,,R Karthiya,T Th,8 9,
,,,,,,,,,
,,,,,,Kotwal Shifa Bushra,,,
,,,,,,,,,
BIO G525,ENVIR BIOTECH & WASTE MGMT,3,2,5,1,P SANKAR GANESH,T Th S,5,
,,,,,,,,,
,Practical,,,,,Anand N,T Th,2 3,
,,,,,,,,,
,,,,,,Aishwarya Natarajan,,,
,,,,,,,,,
BIO G526,CANCER BIOLOGY,3,2,5,1,VIVEK SHARMA,M W F,5,
,,,,,,,,,
,,,,,,Piyush Khandelia,,,
,,,,,,,,,
,Practical,,,,,Bakhya Shree Gb,W,8 9,
,,,,,,,,,
,,,,,,Mohammed Wasil S,,,
,,,,,,,,,
,,,,,,Bakhya Shree Gb,S,4 5,
,,,,,,,,,
,,,,,,Mohammed Wasil S,,,
,,,,,,,,,
BIO G532,BIOSTATISTICS AND BIOMODELLING,3,1,4,1,NAGA MOHAN K,T Th S,4,
,,,,,,,,,
,,,,,,Debashree B,,,
,,,,,,,,,
,Practical,,,,,Nikhil P T,F,8 9,
,,,,,,,,,
,,,,,,Devarakonda Himaja,,,
,,,,,,,,,
BIO G570,RECENT DEVELOPMENTS IN BIOLOGY,1,-,1,1,SRIDEV MOHAPATRA,T,3,
,,,,,,,,,
BIO G651,PROTEIN & ENZYME BIOENGG,3,2,5,1,V RAMAKRISHNA,M W F,4,
,,,,,,,,,
,Practical,,,,,I Shivkumar,T Th,8 9,
,,,,,,,,,
,,,,,,Monica,,,
,,,,,,,,,
"COMCOD",COURSE NO.,COURSE TITLE,"CREDITL   P   U","S EC","INSTRUCTOR-IN-CHARGE/Instructor",DAYS,HOURS,Unnamed: 8,Unnamed: 9
,,,,,,,,,
BIOT F346,GENOMICS,3,-,3,1,GIREESHA T MOHANNATH,M W F,2,
,,,,,,,,,
,,,,,,Vivek Sharma,,,
,,,,,,,,,
BITS C790T,INDEPENDENT STUDY,-,-,2,1,V V KRISHNA VENUGANTI,,,
,,,,,,,,,
BITS C791T,TEACHING PRACTICE I,-,-,1,1,V V KRISHNA VENUGANTI,,,
,,,,,,,,,
BITS C797T,PHD SEMINAR,-,-,1,1,V V KRISHNA VENUGANTI,,,
,,,,,,,,,
BITS C799T,PHD THESIS,-,-,10,1,V V KRISHNA VENUGANTI,,,
,,,,,,,,,
BITS E593,READING COURSE I,-,-,5,1,V V KRISHNA VENUGANTI,,,
,,,,,,,,,
BITS E661,RESEARCH METHODOLOGY I,-,-,5,1,ARAVINDA N RAGHAVAN,T Th S,5,
,,,,,,,,,
,,,,,,Aswathy Raveendran,,,
,,,,,,,,,
,,,,,,Murari R R Varma,,,
,,,,,,,,,
BITS E793T,PRACTICE LECT SERIES I,-,-,1,1,V V KRISHNA VENUGANTI,,,
,,,,,,,,,
BITS F110,ENGINEERING GRAPHICS,1,2,2,3,C P Kiran,F,1,
,,,,,,,,,
,Practical,,,,10,C P Kiran,M,6 7,
,,,,,,,,,
,Tutorial,,,,11,C P Kiran,T,6,
,,,,,,,,,
BITS F111,THERMODYNAMICS,3,-,3,10,N Jalaiah,M W F,5,
,,,,,,,,,
,Tutorial,,,,10,N Jalaiah,Th,7,
,,,,,,,,,
BITS F112,TECHNICAL REPORT WRITING,2,-,2,7,Shilpaa Anand,T Th,6,
,,,,,,,,,
,,,,,,Anhiti Patnaik,,,
,,,,,,,,,
,,,,,,Santosh  Mahapatra,,,
,,,,,,,,,
BITS F214,SCIENCE TECH & MODERNITY,3,-,3,1,BISWANATH DASH,M W F,5,
,,,,,,,,,
BITS F218,GENERAL MATHEMATICS III,3,-,3,1,JAGAN MOHAN J,M W F,5,
,,,,,,,,,
,,,,,,DK Satpathi,,,
,,,,,,,,,
,Tutorial,,,,,DK Satpathi,Th,1,
,,,,,,,,,
,,,,,,Jagan Mohan J,,,
,,,,,,,,,
BITS F225,ENVIRONMENTAL STUDIES,3,-,3,1,K RAJITHA,M W F,4,
,,,,,,,,,
,,,,,,D Ramaiah,,,
,,,,,,,,,
,,,,,,Suman Kapur,,,
,,,,,,,,,
"COMCOD",COURSE NO.,COURSE TITLE,"CREDITL   P   U","S EC","INSTRUCTOR-IN-CHARGE/Instructor",DAYS,HOURS,Unnamed: 8,Unnamed: 9
,,,,,,,,,
BITS F312,NEURAL NETWORKS AND FUZZY LOGIC,3,-,3,1,RAJESH KUMAR TRIPATHY,M W F,3,
,,,,,,,,,
BITS F314,GAME THEORY AND ITS APPLICATIONS,3,-,3,1,DURGESH C PATHAK,M W F,3,
,,,,,,,,,
BITS F319,NEGOTIATION SKILLS AND TECHNIQUES,2,-,2,1,R RAGHUNATHAN,T Th,7,
,,,,,,,,,
BITS F327,"ARTIFICIAL INTELLIGENCE FORROBOTICS",3,1,4,1,ARSHAD JAVED,M W F,2,
,,,,,,,,,
,,,,,,V Sandeep,,,
,,,,,,,,,
,Practical,,,,,Arshad Javed,Th,8 9,
,,,,,,,,,
,,,,,,G Lakshmi Srinivas,,,
,,,,,,,,,
BITS F364,HUMAN COMPUTER INTERACTION,3,-,3,1,DIPANJAN CHAKRABORTY,M W F,3,
,,,,,,,,,
BITS F385,INTRO TO GENDER STUDIES,3,-,3,1,ASWATHY RAVEENDRAN,M W F,4,
,,,,,,,,,
BITS F386,QUANTUM INFO & COMPUTING,3,-,3,1,K V SHIV CHAITANYA,M W F,2,
,,,,,,,,,
BITS F412,PRACTICE SCHOOL II,-,-,20,1,SP REGALLA,,,
,,,,,,,,,
BITS F413,PRACTICE SCHOOL II,-,-,20,1,SP REGALLA,,,
,,,,,,,,,
BITS F415,INTRODUCTION TO MEMS,3,1,4,1,SANKET GOEL,T Th S,4,
,,,,,,,,,
,Practical,,,,1,Sanket Goel,M,2 3,
,,,,,,,,,
,,,,,,Jayapiriya U S,,,
,,,,,,,,,
,,,,,,K Avinash,,,
,,,,,,,,,
,,,,,,Sarala Bhavani Kallepalli,,,
,,,,,,,,,
,,,,,2,Sanket Goel,F,5 6,
,,,,,,,,,
,,,,,,Jayapiriya U S,,,
,,,,,,,,,
,,,,,,K Avinash,,,
,,,,,,,,,
,,,,,,Sarala Bhavani Kallepalli,,,
,,,,,,,,,
BITS F416,INTRO TO NANO SCIENCE,3,-,3,1,VSN MURTHY,M W F,3,
,,,,,,,,,
,,,,,,B Harihara  Venkataraman,,,
,,,,,,,,,
BITS F421T,THESIS,-,-,16,1,A VASAN,,,
,,,,,,,,,
"COMCOD",COURSE NO.,COURSE TITLE,"CREDITL   P   U","S EC","INSTRUCTOR-IN-CHARGE/Instructor",DAYS,HOURS,Unnamed: 8,Unnamed: 9
,,,,,,,,,
BITS F428,ESSENTIALS OF STRATE MGT,3,-,3,1,SWATI ALOK,T Th S,3,
,,,,,,,,,
BITS F437,TECHNICAL COMMUNICATION,3,-,3,1,SANTOSH  MAHAPATRA,M W F,1,
,,,,,,,,,
,,,,,,Revathy Hemachandran,,,
,,,,,,,,,
BITS F441T,SEMINAR,-,-,1,1,A VASAN,,,
,,,,,,,,,
BITS F462,RENEWABLE ENERGY,3,-,3,1,M SRINIVAS,T Th S,4,
,,,,,,,,,
BITS F463,CRYPTOGRAPHY,3,-,3,1,AMIT  KUMAR PANDA,T Th S,3,
,,,,,,,,,
BITS G513,STUDY IN ADVANCED TOPICS,-,-,5,1,V V KRISHNA VENUGANTI,,,
,,,,,,,,,
BITS G529,RESEARCH PROJECT I,-,-,6,1,V V KRISHNA VENUGANTI,,,
,,,,,,,,,
BITS G539,RESEARCH PROJECT II,-,-,6,1,V V KRISHNA VENUGANTI,,,
,,,,,,,,,
BITS G540,RESEARCH PRACTICE,-,-,4,1,V V KRISHNA VENUGANTI,,,
,,,,,,,,,
